
"WebID","Area","Data label","2021","2021%","2016","2016%","2011","2011%","2006","2006%","Data Type",
"160","North Melbourne (N)","Did not go to work","1046","11.8675","704","10.2864","535","9.1002","564","11.6649","UR",
"160","North Melbourne (N)","Not stated","32","0.3631","76","1.1105","50","0.8505","77","1.5926","UR",
"160","North Melbourne (N)","Total employed persons aged 15+","8814","100.0000","6844","100.0000","5879","100.0000","4835","100.0000","UR",
"170","Parkville (N)","Train","119","3.0013","324","9.2334","162","5.6133","113","4.7519","UR",
"170","Parkville (N)","Bus","45","1.1349","51","1.4534","28","0.9702","15","0.6308","UR",
"170","Parkville (N)","Tram","244","6.1538","473","13.4796","451","15.6272","350","14.7183","UR",
"170","Parkville (N)","Ferry","0","","0","","0","","0","","UR",
"170","Parkville (N)","Taxi/ride-share","16","0.4035","13","0.3705","22","0.7623","6","0.2523","UR",
"170","Parkville (N)","Car - as driver","845","21.3115","909","25.9048","693","24.0125","507","21.3204","UR",
"170","Parkville (N)","Car - as passenger","51","1.2863","73","2.0804","59","2.0444","42","1.7662","UR",
"170","Parkville (N)","Truck","0","","0","","0","","0","","UR",
"170","Parkville (N)","Motorbike","15","0.3783","9","0.2565","13","0.4505","6","0.2523","UR",
"170","Parkville (N)","Bicycle","176","4.4388","291","8.2930","213","7.3805","119","5.0042","UR",
"170","Parkville (N)","Walked only","366","9.2308","561","15.9875","508","17.6022","499","20.9840","UR",
"170","Parkville (N)","Other","69","1.7402","60","1.7099","87","3.0146","38","1.5980","UR",
"170","Parkville (N)","Worked at home","1360","34.3001","190","5.4146","117","4.0541","144","6.0555","UR",
"170","Parkville (N)","Did not go to work","640","16.1412","531","15.1325","513","17.7755","520","21.8671","UR",
"170","Parkville (N)","Not stated","19","0.4792","24","0.6840","20","0.6930","19","0.7990","UR",
"170","Parkville (N)","Total employed persons aged 15+","3965","100.0000","3509","100.0000","2886","100.0000","2378","100.0000","UR",
"180","South Yarra (N)","Train","96","2.5862","272","8.0450","212","6.1025","165","5.6721","UR",
"180","South Yarra (N)","Bus","25","0.6735","43","1.2718","63","1.8135","25","0.8594","UR",
"180","South Yarra (N)","Tram","199","5.3610","598","17.6871","639","18.3938","422","14.5067","UR",
"180","South Yarra (N)","Ferry","0","","0","","0","","4","0.1375","UR",
"180","South Yarra (N)","Taxi/ride-share","8","0.2155","16","0.4732","42","1.2090","15","0.5156","UR",
"180","South Yarra (N)","Car - as driver","741","19.9623","1075","31.7953","1152","33.1606","1074","36.9199","UR",
"180","South Yarra (N)","Car - as passenger","33","0.8890","73","2.1591","78","2.2453","78","2.6813","UR",
"180","South Yarra (N)","Truck","0","","0","","0","","3","0.1031","UR",
"180","South Yarra (N)","Motorbike","14","0.3772","31","0.9169","25","0.7196","22","0.7563","UR",
"180","South Yarra (N)","Bicycle","71","1.9127","183","5.4126","137","3.9436","92","3.1626","UR",
"180","South Yarra (N)","Walked only","356","9.5905","533","15.7646","557","16.0334","520","17.8756","UR",
"180","South Yarra (N)","Other","54","1.4547","67","1.9817","93","2.6770","58","1.9938","UR",
"180","South Yarra (N)","Worked at home","1752","47.1983","225","6.6548","153","4.4041","152","5.2252","UR",
"180","South Yarra (N)","Did not go to work","349","9.4019","237","7.0098","297","8.5492","257","8.8347","UR",
"180","South Yarra (N)","Not stated","14","0.3772","28","0.8282","26","0.7484","22","0.7563","UR",
"180","South Yarra (N)","Total employed persons aged 15+","3712","100.0000","3381","100.0000","3474","100.0000","2909","100.0000","UR",
"190","Southbank (N)","Train","867","5.5827","895","8.3543","435","6.3108","245","4.6809","UR",
"190","Southbank (N)","Bus","106","0.6825","150","1.4002","49","0.7109","36","0.6878","UR",
"190","Southbank (N)","Tram","1307","8.4160","2059","19.2196","1152","16.7126","674","12.8773","UR",
"190","Southbank (N)","Ferry","0","","4","0.0373","0","","0","","UR",
"190","Southbank (N)","Taxi/ride-share","75","0.4829","49","0.4574","35","0.5078","47","0.8980","UR",
"190","Southbank (N)","Car - as driver","2351","15.1384","2206","20.5918","1758","25.5041","1432","27.3596","UR",
"190","Southbank (N)","Car - as passenger","227","1.4617","212","1.9789","130","1.8860","142","2.7130","UR",
"190","Southbank (N)","Truck","13","0.0837","4","0.0373","0","","0","","UR",
"190","Southbank (N)","Motorbike","115","0.7405","53","0.4947","26","0.3772","15","0.2866","UR",
"190","Southbank (N)","Bicycle","227","1.4617","266","2.4830","124","1.7989","95","1.8151","UR",
"190","Southbank (N)","Walked only","1993","12.8332","3502","32.6893","2330","33.8024","1840","35.1548","UR",
"190","Southbank (N)","Other","282","1.8158","198","1.8482","140","2.0310","48","0.9171","UR",
"190","Southbank (N)","Worked at home","6294","40.5280","380","3.5471","222","3.2207","157","2.9996","UR",
"190","Southbank (N)","Did not go to work","1602","10.3155","677","6.3194","468","6.7895","456","8.7123","UR",
"190","Southbank (N)","Not stated","71","0.4572","58","0.5414","24","0.3482","47","0.8980","UR",
"190","Southbank (N)","Total employed persons aged 15+","15530","100.0000","10713","100.0000","6893","100.0000","5234","100.0000","UR",
"200","West Melbourne (N)","Train","349","7.2362","402","13.2542","238","11.8408","125","8.2237","UR",
"200","West Melbourne (N)","Bus","44","0.9123","43","1.4177","14","0.6965","9","0.5921","UR",
"200","West Melbourne (N)","Tram","308","6.3861","433","14.2763","212","10.5473","122","8.0263","UR",
"200","West Melbourne (N)","Ferry","0","","0","","0","","0","","UR",
"200","West Melbourne (N)","Taxi/ride-share","12","0.2488","8","0.2638","3","0.1493","9","0.5921","UR",
"200","West Melbourne (N)","Car - as driver","788","16.3384","666","21.9585","511","25.4229","434","28.5526","UR",
"200","West Melbourne (N)","Car - as passenger","82","1.7002","50","1.6485","44","2.1891","53","3.4868","UR",
"200","West Melbourne (N)","Truck","6","0.1244","3","0.0989","3","0.1493","0","","UR",
"200","West Melbourne (N)","Motorbike","49","1.0160","17","0.5605","6","0.2985","17","1.1184","UR",
"200","West Melbourne (N)","Bicycle","110","2.2807","139","4.5829","106","5.2736","58","3.8158","UR",
"200","West Melbourne (N)","Walked only","580","12.0257","820","27.0359","608","30.2488","457","30.0658","UR",
